Timestamp(ms),Current(uA),D0-D7
1204.86,256.835,00000000
1204.87,256.835,00000000
1204.88,258.159,00000000
1204.89,255.953,00000000
1204.9,257.276,00000000
1204.91,255.512,00000000
1204.92,257.717,00000000
1204.93,257.717,00000000
1204.94,255.953,00000000
1204.95,255.071,00000000
1204.96,255.512,00000000
1204.97,255.512,00000000
1204.98,253.748,00000000
1204.99,253.308,00000000
1205,257.276,00000000
1205.01,257.276,00000000
1205.02,257.717,00000000
1205.03,253.308,00000000
1205.04,252.867,00000000
1205.05,253.308,00000000
1205.06,256.394,00000000
1205.07,255.071,00000000
1205.08,253.308,00000000
1205.09,251.985,00000000
1205.1,250.223,00000000
1205.11,252.426,00000000
1205.12,252.426,00000000
1205.13,251.545,00000000
1205.14,252.426,00000000
1205.15,254.630,00000000
1205.16,255.512,00000000
1205.17,255.953,00000000
1205.18,257.717,00000000
1205.19,256.835,00000000
1205.2,260.806,00000000
1205.21,259.482,00000000
1205.22,257.276,00000000
1205.23,256.394,00000000
1205.24,253.748,00000000
1205.25,254.189,00000000
1205.26,254.189,00000000
1205.27,253.748,00000000
1205.28,254.189,00000000
1205.29,256.394,00000000
1205.3,256.835,00000000
1205.31,256.835,00000000
1205.32,255.071,00000000
1205.33,255.512,00000000
1205.34,256.394,00000000
1205.35,257.276,00000000
1205.36,257.276,00000000
1205.37,258.159,00000000
1205.38,257.276,00000000
1205.39,255.512,00000000
1205.4,252.867,00000000
1205.41,251.985,00000000
1205.42,255.071,00000000
1205.43,255.071,00000000
1205.44,257.276,00000000
1205.45,256.394,00000000
1205.46,253.308,00000000
1205.47,253.748,00000000
1205.48,252.426,00000000
1205.49,249.782,00000000
1205.5,248.460,00000000
1205.51,248.020,00000000
1205.52,248.901,00000000
1205.53,250.663,00000000
1205.54,254.189,00000000
1205.55,254.630,00000000
1205.56,255.071,00000000
1205.57,256.394,00000000
1205.58,255.953,00000000
1205.59,256.835,00000000
1205.6,257.276,00000000
1205.61,257.276,00000000
1205.62,257.276,00000000
1205.63,258.600,00000000
1205.64,257.717,00000000
1205.65,256.835,00000000
1205.66,259.041,00000000
1205.67,256.835,00000000
1205.68,255.953,00000000
1205.69,253.748,00000000
1205.7,253.748,00000000
1205.71,251.985,00000000
1205.72,252.426,00000000
1205.73,252.867,00000000
1205.74,251.104,00000000
1205.75,252.426,00000000
1205.76,251.545,00000000
1205.77,252.867,00000000
1205.78,252.867,00000000
1205.79,343.923,00000000
1205.8,373.984,00000000
1205.81,370.836,00000000
1205.82,367.241,00000000
1205.83,365.444,00000000
1205.84,361.403,00000000
1205.85,358.262,00000000
1205.86,354.674,00000000
1205.87,351.984,00000000
1205.88,347.504,00000000
1205.89,341.238,00000000
1205.9,336.766,00000000
1205.91,329.618,00000000
1205.92,323.816,00000000
1205.93,313.565,00000000
1205.94,310.004,00000000
1205.95,309.113,00000000
1205.96,309.113,00000000
1205.97,310.449,00000000
1205.98,313.565,00000000
1205.99,313.565,00000000
1206,316.683,00000000
1206.01,319.357,00000000
1206.02,314.010,00000000
1206.03,312.674,00000000
1206.04,313.565,00000000
1206.05,313.120,00000000
1206.06,309.113,00000000
1206.07,310.004,00000000
1206.08,310.894,00000000
1206.09,311.339,00000000
1206.1,309.113,00000000
1206.11,309.113,00000000
1206.12,307.779,00000000
1206.13,306.889,00000000
1206.14,302.887,00000000
1206.15,302.442,00000000
1206.16,304.665,00000000
1206.17,306.444,00000000
1206.18,306.444,00000000
1206.19,306.444,00000000
1206.2,303.331,00000000
1206.21,299.332,00000000
1206.22,299.776,00000000
1206.23,298.443,00000000
1206.24,296.223,00000000
1206.25,295.335,00000000
1206.26,294.891,00000000
1206.27,296.223,00000000
1206.28,298.888,00000000
1206.29,296.223,00000000
1206.3,294.447,00000000
1206.31,294.447,00000000
1206.32,294.003,00000000
1206.33,292.228,00000000
1206.34,292.228,00000000
1206.35,290.453,00000000
1206.36,289.123,00000000
1206.37,286.462,00000000
1206.38,286.906,00000000
1206.39,285.132,00000000
1206.4,285.132,00000000
1206.41,284.689,00000000
1206.42,288.236,00000000
1206.43,286.906,00000000
1206.44,288.679,00000000
1206.45,286.906,00000000
1206.46,288.679,00000000
1206.47,289.123,00000000
1206.48,290.453,00000000
1206.49,291.341,00000000
1206.5,290.897,00000000
1206.51,292.672,00000000
1206.52,291.784,00000000
1206.53,289.123,00000000
1206.54,285.132,00000000
1206.55,283.803,00000000
1206.56,284.246,00000000
1206.57,283.360,00000000
1206.58,281.588,00000000
1206.59,280.702,00000000
1206.6,278.931,00000000
